Year,Price,Mileage
2019,20100,34779
2019,26634,14
2017,16998,23790
2016,17180,28841
2018,20987,18102
2010,4995,150011
2014,11000,82652
2017,16774,45405
2010,4419,166593
2020,26384,9789
2020,24549,2310
2020,20400,3891
2018,20952,29289
2016,14295,46012
2017,11567,94125
2020,19998,27052
2017,18750,39548
2020,24390,9673
2016,14758,69216
2017,16480,21201
2017,15429,65697
2017,14988,64290
2017,15850,30585
2017,15980,34505
2019,18989,31903
2019,25923,6023
2020,19498,31699
2020,20000,29811
2017,13498,50801
2014,11990,78415
2019,19298,29103
2017,11595,19877
2018,16998,50036
2017,15998,42754
2006,4490,134067
2011,5950,125691
2017,17991,45341
2017,18500,28056
2018,16980,20158
2017,13990,80000
2019,18990,41880
2015,12952,85191
2017,18220,45419
2005,4465,131442
2019,25970,3952
2017,17000,65313
2017,17075,48453
2006,3499,234339
2014,11599,105732
2017,16980,46399
2016,14998,44064
2019,17565,9340
2017,14992,30782
2017,13998,53154
